fomc_date,lm_pct_old,lm_pct_full,total_words
2026-03-18,-1.2861736334405145,0.0,311
2026-01-28,-1.0135135135135136,0.33783783783783783,296
2025-12-10,-1.5384615384615385,-0.5128205128205128,390
2025-10-29,-1.0204081632653061,-0.5102040816326531,196
2025-09-17,-1.4749262536873156,-0.2949852507374631,339
2025-07-30,-1.2121212121212122,-0.30303030303030304,330
2025-06-18,-1.9933554817275747,-0.33222591362126247,301
2025-05-07,-1.524390243902439,0.0,328
2025-03-19,-1.8970189701897018,-0.8130081300813009,369
2025-01-29,-1.9230769230769231,0.641025641025641,312
2024-12-18,-1.4367816091954022,0.28735632183908044,348
2024-11-07,-1.5479876160990713,0.6191950464396285,323
2024-09-18,-0.8356545961002786,0.8356545961002786,359
2024-07-31,-0.8241758241758242,1.3736263736263736,364
2024-06-12,-0.5763688760806917,1.729106628242075,347
2024-05-01,-0.9779951100244498,0.7334963325183375,409
2024-03-20,-0.9009009009009009,1.5015015015015014,333
2024-01-31,-0.8849557522123894,1.4749262536873156,339
2023-12-13,0.0,0.0,361
2023-11-01,-0.2857142857142857,0.2857142857142857,350
2023-09-20,-0.5813953488372093,-0.29069767441860467,344
2023-07-26,-0.8849557522123894,-0.2949852507374631,339
2023-06-14,-0.8645533141210375,-0.2881844380403458,347
2023-05-03,-0.8902077151335311,-0.2967359050445104,337
2023-03-22,-0.2695417789757413,0.0,371
2023-02-01,0.0,-0.2949852507374631,339
2022-12-14,0.2617801047120419,-0.5235602094240838,382
2022-11-02,0.2617801047120419,-0.5235602094240838,382
2022-09-21,0.0,-0.3067484662576687,326
2022-07-27,-0.3076923076923077,-0.3076923076923077,325
2022-06-15,-0.2652519893899204,-0.7957559681697612,377
2022-05-04,-0.5102040816326531,-0.25510204081632654,392
2022-03-16,0.2808988764044944,0.2808988764044944,356
2022-02-18,-0.21978021978021978,-1.5384615384615385,455
2022-01-26,-0.46728971962616817,0.46728971962616817,214
2021-12-15,0.37593984962406013,0.9398496240601504,532
2021-11-03,0.2762430939226519,0.5524861878453038,362
2021-09-22,1.3745704467353952,1.718213058419244,291
2021-07-28,1.4285714285714286,1.7857142857142856,280
2021-06-16,0.7722007722007722,1.1583011583011582,259
2021-04-28,0.7722007722007722,1.1583011583011582,259
2021-03-17,0.7722007722007722,1.1583011583011582,259
2021-01-27,0.7722007722007722,1.1583011583011582,259
2020-12-16,0.7874015748031495,1.1811023622047243,254
2020-11-05,0.4149377593360996,0.4149377593360996,241
2020-09-16,0.3125,0.9375,320
2020-07-29,-0.43668122270742354,0.21834061135371177,458
2020-06-10,-0.4576659038901602,0.0,437
2020-04-29,-1.1520737327188941,-0.6912442396313364,434
2020-03-23,0.18018018018018017,0.18018018018018017,555
2020-03-15,-0.16051364365971107,0.8025682182985553,623
2020-03-03,-0.7751937984496124,1.550387596899225,129
2020-01-29,0.6369426751592357,0.6369426751592357,314
2006-01-31,0.5988023952095809,1.1976047904191618,167
2006-03-28,2.608695652173913,1.3043478260869565,230
2006-05-10,2.4096385542168677,0.8032128514056224,249
2006-06-29,1.680672268907563,0.8403361344537815,238
2006-08-08,1.3761467889908259,-0.45871559633027525,218
2006-09-20,0.0,-0.4830917874396135,207
2006-10-25,0.0,-0.9478672985781991,211
2006-12-12,0.0,-0.904977375565611,221
2007-01-31,0.5681818181818182,1.1363636363636365,176
2007-03-21,0.0,-1.2048192771084338,166
2007-05-09,0.6060606060606061,-1.8181818181818181,165
2007-08-17,0.0,0.5494505494505495,182
2007-09-18,1.4285714285714286,-1.4285714285714286,210
2007-10-31,1.550387596899225,-1.937984496124031,258
2007-12-11,2.1367521367521367,-1.282051282051282,234
2008-01-30,-0.9852216748768473,-1.477832512315271,203
2008-03-18,0.4,-2.4,250
2008-04-30,0.3787878787878788,-1.5151515151515151,264
2008-06-25,1.1952191235059761,-1.593625498007968,251
2008-08-05,1.6260162601626018,-1.6260162601626018,246
2008-09-16,2.232142857142857,-2.6785714285714284,224
2008-10-29,-1.214574898785425,-1.214574898785425,247
2008-12-16,0.45045045045045046,0.0,222
2009-01-28,0.2070393374741201,0.2070393374741201,483
2009-03-18,0.0,-0.4728132387706856,423
2009-04-29,0.4694835680751174,0.0,426
2009-06-24,1.0582010582010581,1.0582010582010581,378
2009-08-12,1.1904761904761905,1.1904761904761905,420
2009-09-23,0.9411764705882352,0.9411764705882352,425
2009-11-04,1.0775862068965518,1.0775862068965518,464
2009-12-16,1.3513513513513513,1.3513513513513513,370
2010-01-27,0.9174311926605505,1.1009174311926606,545
2010-03-16,1.1210762331838564,0.8968609865470852,446
2010-04-28,1.4563106796116505,0.7281553398058253,412
2010-06-23,1.6574585635359116,0.2762430939226519,362
2010-08-10,1.0752688172043012,0.21505376344086022,465
2010-09-21,1.1655011655011656,-0.2331002331002331,429
2010-11-03,1.6227180527383367,-0.6085192697768762,493
2010-12-14,1.6260162601626018,-0.8130081300813009,492
2011-01-26,1.6018306636155606,0.2288329519450801,437
2011-03-15,1.5086206896551724,1.0775862068965518,464
2011-04-27,1.5086206896551724,1.0775862068965518,464
2011-06-22,0.6535947712418301,-1.3071895424836601,459
2011-08-09,0.18975332068311196,-1.5180265654648957,527
2011-09-21,0.5033557046979865,-1.006711409395973,596
2011-11-02,0.8113590263691683,-0.4056795131845842,493
2011-12-13,1.3729977116704806,0.0,437
2012-01-25,1.411764705882353,-0.2352941176470588,425
2012-03-13,1.1520737327188941,0.2304147465437788,434
2012-04-25,1.1286681715575622,0.6772009029345373,443
2012-06-20,0.7905138339920948,-0.7905138339920948,506
2012-08-01,1.079913606911447,-0.21598272138228944,463
2012-09-13,2.2847100175746924,0.8787346221441126,569
2012-10-24,1.981981981981982,0.9009009009009009,555
2012-12-12,1.146131805157593,0.7163323782234957,698
2013-01-30,1.0670731707317074,0.3048780487804878,656
2013-03-20,1.0719754977029097,0.6125574272588056,653
2013-05-01,1.0309278350515463,0.5891016200294551,679
2013-06-19,0.8486562942008486,0.2828854314002829,707
2013-07-31,0.7042253521126761,0.28169014084507044,710
2013-09-18,1.107011070110701,0.4920049200492005,813
2013-10-30,1.1378002528445006,0.37926675094816686,791
2013-12-18,0.7838745800671892,0.11198208286674133,893
2014-01-29,0.7009345794392523,0.46728971962616817,856
2014-03-19,0.7734806629834254,0.44198895027624313,905
2014-04-30,0.9546539379474941,0.8353221957040573,838
2014-06-18,1.3333333333333335,1.3333333333333335,825
2014-07-30,1.1363636363636365,0.7954545454545454,880
2014-09-17,1.0822510822510822,1.0822510822510822,924
2014-10-29,1.0752688172043012,0.5376344086021506,744
2014-12-17,0.9358288770053476,0.4010695187165776,748
2015-01-28,0.6896551724137931,0.5172413793103449,580
2015-03-18,0.8431703204047217,0.6745362563237773,593
2015-04-29,0.5253940455341506,-0.17513134851138354,571
2015-06-17,0.5405405405405406,1.0810810810810811,555
2015-07-29,0.5454545454545455,0.9090909090909091,550
2015-09-17,0.33500837520938026,0.5025125628140703,597
2015-10-28,0.5102040816326531,0.5102040816326531,588
2015-12-16,0.6644518272425249,0.4983388704318937,602
2016-01-27,0.5244755244755245,0.0,572
2016-03-16,0.5145797598627788,0.6861063464837049,583
2016-04-27,1.0204081632653061,0.5102040816326531,588
2016-06-15,0.36101083032490977,-0.36101083032490977,554
2016-07-27,0.17301038062283738,0.0,578
2016-09-21,0.487012987012987,0.3246753246753247,616
2016-11-02,0.819672131147541,0.49180327868852464,610
2016-12-14,0.0,0.3629764065335753,551
2017-02-01,0.7797270955165692,0.9746588693957114,513
2017-03-15,0.3738317757009346,0.7476635514018692,535
2017-05-03,0.3766478342749529,0.18832391713747645,531
2017-06-14,-0.3546099290780142,0.3546099290780142,564
2017-07-26,-0.19342359767891684,0.5802707930367506,517
2017-09-20,0.0,0.0,544
2017-11-01,-0.19157088122605362,0.0,522
2017-12-13,0.4032258064516129,0.20161290322580644,496
2018-01-31,0.9302325581395349,1.1627906976744187,430
2018-03-21,1.5317286652078774,1.75054704595186,457
2018-05-02,1.3953488372093024,1.3953488372093024,430
2018-06-13,1.2232415902140672,1.2232415902140672,327
2018-08-01,1.5873015873015872,1.9047619047619049,315
2018-09-26,1.342281879194631,1.6778523489932886,298
2018-11-08,1.2861736334405145,1.2861736334405145,311
2018-12-19,1.4792899408284024,1.4792899408284024,338
2019-01-30,1.1869436201780417,1.1869436201780417,337
2019-03-20,1.13314447592068,0.0,353
2019-05-01,0.911854103343465,0.303951367781155,329
2019-06-19,1.3736263736263736,0.5494505494505495,364
2019-07-31,1.2165450121654502,0.7299270072992701,411
2019-09-18,1.015228426395939,0.7614213197969544,394
2019-10-30,0.8403361344537815,0.5602240896358543,357
2019-12-11,0.9345794392523363,0.9345794392523363,321
1994-05-17,2.7027027027027026,-2.7027027027027026,37
1994-08-16,2.564102564102564,-2.564102564102564,39
1994-11-15,5.405405405405405,0.0,37
1995-07-06,0.0,-2.127659574468085,47
1995-12-19,-2.5,-5.0,40
1997-03-25,2.631578947368421,0.0,38
1998-09-29,2.1739130434782608,-4.3478260869565215,46
1998-10-15,-6.382978723404255,-10.638297872340425,47
1998-11-17,0.0,-2.631578947368421,38
1999-06-30,3.125,0.0,32
1999-08-24,0.0,-2.7777777777777777,36
1999-11-16,0.0,-3.225806451612903,31
2000-02-02,0.0,-3.125,32
2000-03-21,10.0,-3.3333333333333335,30
2000-05-16,-3.4482758620689653,0.0,29
2000-06-28,-3.7037037037037033,-3.7037037037037033,27
2001-01-31,-7.142857142857142,-4.761904761904762,42
2001-03-20,-2.564102564102564,-7.6923076923076925,39
2001-08-21,-6.666666666666667,-3.3333333333333335,30
2001-09-17,-3.0303030303030303,0.0,33
2001-12-11,-6.666666666666667,-3.3333333333333335,30
2003-06-25,4.3478260869565215,0.0,46
2004-08-10,0.0,0.0,27
2004-12-14,0.0,0.0,35
2005-12-13,0.0,0.0,38
2007-08-07,1.4423076923076923,-1.4423076923076923,208
2008-01-29,0.7407407407407408,0.0,135
2008-10-28,0.6451612903225806,0.3225806451612903,310
2009-11-03,0.9090909090909091,0.0,110
2009-12-15,0.9090909090909091,0.0,110
2011-09-20,4.0650406504065035,0.0,123
2014-03-18,0.0,0.0,82
2014-06-17,0.0,0.0,82
2019-10-11,0.2751031636863824,-0.2751031636863824,727
2020-07-28,0.0,0.8620689655172413,348
2003-01-29,0.0,0.5681818181818182,176
2003-03-18,0.4291845493562232,0.8583690987124464,233
2003-08-12,1.36986301369863,-0.45662100456621,219
2003-09-16,0.9259259259259258,-0.9259259259259258,216
2004-01-28,1.4354066985645932,0.0,209
2004-03-16,0.4807692307692308,-1.9230769230769231,208
2004-09-21,1.7937219730941705,2.690582959641256,223
2004-11-10,1.4423076923076923,2.403846153846154,208
2005-02-02,1.4218009478672986,2.3696682464454977,211
2005-05-03,2.1551724137931036,1.293103448275862,232
2005-08-09,1.3636363636363635,2.727272727272727,220
2005-09-20,0.0,-0.9708737864077669,309
2005-11-01,0.8888888888888888,0.4444444444444444,225
